"idx","xcache","xelapsed_ms","total_ms"
"1",,,"68.6"
"2",,,"57.6"
"3",,,"53.4"
"4",,,"56.9"
"5",,,"61.6"
"6",,,"61.3"
"7",,,"64.2"
"8",,,"70.8"
"9",,,"61.4"
"10",,,"63.4"
"11",,,"60"
"12",,,"74"
"13",,,"129.1"
"14",,,"61.4"
"15",,,"62.7"
"16",,,"53.3"
"17",,,"47.1"
"18",,,"51.7"
"19",,,"48.5"
"20",,,"56.6"
"21",,,"49"
"22",,,"54.8"
"23",,,"54.9"
"24",,,"56.7"
"25",,,"58.4"
"26",,,"53.1"
"27",,,"57.3"
"28",,,"55.9"
"29",,,"59.2"
"30",,,"66.5"
"31",,,"67.4"
"32",,,"74.1"
"33",,,"55.6"
"34",,,"56.5"
"35",,,"51.1"
"36",,,"50.7"
"37",,,"48.8"
"38",,,"49.1"
"39",,,"52.2"
"40",,,"50.3"
"41",,,"53.2"
"42",,,"77.4"
"43",,,"51.1"
"44",,,"56.2"
"45",,,"53.7"
"46",,,"47.2"
"47",,,"56.1"
"48",,,"59.1"
"49",,,"50"
"50",,,"94.3"
